faktor_memperberat,faktor_memperingan,durasi,tingkat_nyeri,arah_latihan,gerakan1,gerakan2,gerakan3
mengangkat beban,Berbaring/istirahat,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
mengangkat beban,Jalan kaki ringan,6 sampai 12 minggu,sedang,ekstensi,cobra-pose,bird-dog,glute-bridge
mengangkat beban,Peregangan,diatas 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
"mengangkat beban, memutar tubuh",Berbaring/istirahat,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"mengangkat beban, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,ringan,ekstensi,cobra-pose,bird-dog,forearm-plank
memutar tubuh,Berbaring/istirahat,6 sampai 12 minggu,ringan,stabilisasi,bird-dog,forearm-plank,side-plank
memutar tubuh,Berbaring/istirahat,diatas 12 minggu,sedang,stabilisasi,bird-dog,side-plank,glute-bridge
memutar tubuh,Berbaring/istirahat,dibawah 6 minggu,sedang,stabilisasi,bird-dog,forearm-plank,side-plank
memutar tubuh,Jalan kaki ringan,dibawah 6 minggu,sedang,mobilisasi/postural,cat-cow,pelvic-tilt,supine-hamstring-stretch
memutar tubuh,Kompres hangat/dingin,6 sampai 12 minggu,ringan,stabilisasi,bird-dog,side-plank,glute-bridge
memutar tubuh,Kompres hangat/dingin,dibawah 6 minggu,ringan,stabilisasi,bird-dog,forearm-plank,side-plank
memutar tubuh,Peregangan,dibawah 6 minggu,ringan,ekstensi,cobra-pose,bird-dog,glute-bridge
"memutar tubuh, mengangkat beban",Kompres hangat/dingin,diatas 12 minggu,sedang,stabilisasi,bird-dog,side-plank,glute-bridge
"Memutar tubuh, duduk lama",Jalan kaki ringan,6 sampai 12 minggu,Sedang,Mobilisasi/postural,cat-cow,pelvic-tilt,child-pose
"Berdiri lama, memutar tubuh",Peregangan,Diatas 12 minggu,Ringan,Fleksi,knee-to-chest,supine-hamstring-stretch,pelvic-tilt
membungkuk,Kompres hangat,Dibawah 6 minggu,Sedang,Ekstensi,cobra-pose,bird-dog,glute-bridge
duduk lama,Berbaring/istirahat,6 sampai 12 minggu,Ringan,Ekstensi,cobra-pose,bird-dog,forearm-plank
mengangkat beban,Peregangan,Dibawah 6 minggu,Ringan,Ekstensi,cobra-pose,bird-dog,forearm-plank
berdiri lama,Kompres hangat,6 sampai 12 minggu,Sedang,Fleksi,knee-to-chest,child-pose,pelvic-tilt
