faktor_memperberat,faktor_memperingan,durasi,tingkat_nyeri,arah_latihan,gerakan1,gerakan2,gerakan3
"berdiri lama, memutar tubuh",Kompres hangat/dingin,diatas 12 minggu,ringan,fleksi,Knee-to-Chest,Child-Pose,Supine-Hamstring-Stretch
"berdiri lama, mengangkat beban",Kompres hangat/dingin,dibawah 6 minggu,sedang,stabilisasi,Bird-Dog,Side-Plank,Glute-Bridge
"berdiri lama, mengangkat beban",Peregangan,diatas 12 minggu,ringan,fleksi,Knee-to-Chest,Child-Pose,Pelvic-Tilt
mengangkat beban,Berbaring/istirahat,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
mengangkat beban,Jalan kaki ringan,6 sampai 12 minggu,sedang,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
mengangkat beban,Peregangan,diatas 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
"mengangkat beban, memutar tubuh",Berbaring/istirahat,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"mengangkat beban, memutar tubuh",Jalan kaki ringan,6 sampai 12 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
memutar tubuh,Berbaring/istirahat,6 sampai 12 minggu,ringan,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
memutar tubuh,Berbaring/istirahat,diatas 12 minggu,sedang,stabilisasi,Bird-Dog,Side-Plank,Glute-Bridge
memutar tubuh,Berbaring/istirahat,dibawah 6 minggu,sedang,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
memutar tubuh,Jalan kaki ringan,dibawah 6 minggu,sedang,mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Supine-Hamstring-Stretch
memutar tubuh,Kompres hangat/dingin,6 sampai 12 minggu,ringan,stabilisasi,Bird-Dog,Side-Plank,Glute-Bridge
memutar tubuh,Kompres hangat/dingin,dibawah 6 minggu,ringan,stabilisasi,Bird-Dog,Forearm-Plank,Side-Plank
memutar tubuh,Peregangan,dibawah 6 minggu,ringan,ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
"memutar tubuh, mengangkat beban",Kompres hangat/dingin,diatas 12 minggu,sedang,stabilisasi,Bird-Dog,Side-Plank,Glute-Bridge
"Memutar tubuh, duduk lama",Jalan kaki ringan,6 sampai 12 minggu,Sedang,Mobilisasi/postural,Cat-Cow,Pelvic-Tilt,Child-Pose
"Berdiri lama, memutar tubuh",Peregangan,Diatas 12 minggu,Ringan,Fleksi,Knee-to-Chest,Supine-Hamstring-Stretch,Pelvic-Tilt
membungkuk,Kompres hangat,Dibawah 6 minggu,Sedang,Ekstensi,Cobra-Pose,Bird-Dog,Glute-Bridge
duduk lama,Berbaring/istirahat,6 sampai 12 minggu,Ringan,Ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
mengangkat beban,Peregangan,Dibawah 6 minggu,Ringan,Ekstensi,Cobra-Pose,Bird-Dog,Forearm-Plank
berdiri lama,Kompres hangat,6 sampai 12 minggu,Sedang,Fleksi,Knee-to-Chest,Child-Pose,Pelvic-Tilt
